dataset_size,algorithm,runs,avg_time_ms,median_time_ms,std_dev_time_ms,min_time_ms,max_time_ms
1000,Binary Heap,3,1.665467,0.0,2.884673,0.0,4.9964
1000,Bubble Sort,3,91.3076,91.6478,6.210692,84.9338,97.3412
5000,Binary Heap,3,38.026233,31.2491,11.739552,31.2477,51.5819
5000,Bubble Sort,3,2436.596233,2453.4398,92.851809,2336.4756,2519.8733
15000,Binary Heap,3,160.091167,149.9702,41.101213,124.9959,205.3074
15000,Bubble Sort,3,21966.705733,21732.3774,1267.473998,20832.7472,23334.9926
20000,Binary Heap,3,197.1783,203.1202,22.922409,171.87,216.5447
20000,Bubble Sort,3,36794.896967,36610.7066,1384.781047,35511.429,38262.5553
25000,Binary Heap,3,271.239367,281.2419,21.028396,247.0768,285.3994
25000,Bubble Sort,3,58318.358633,58660.9563,802.820996,57401.0761,58893.0435
30000,Binary Heap,3,359.194633,358.7777,12.387164,347.0212,371.785
30000,Bubble Sort,3,92693.6941,93450.9198,8534.717295,83805.595,100824.5675
35000,Binary Heap,3,399.004267,424.514,54.167372,336.7919,435.7069
35000,Bubble Sort,3,126047.315667,126338.8786,10372.754433,115531.8535,136271.2149
40000,Binary Heap,3,431.182333,420.4409,18.990434,419.997,453.1091
40000,Bubble Sort,3,162056.349867,162699.4968,8804.416439,152947.9954,170521.5574
