dataset_size,algorithm,algorithm_slug,run_number,time_ms,time_seconds,log10_time_ms
1000,Bubble Sort,bubble_sort,1,91.6478,0.091648,1.962122
1000,Binary Heap,binary_heap,1,4.9964,0.004996,0.698657
1000,Bubble Sort,bubble_sort,2,84.9338,0.084934,1.929081
1000,Binary Heap,binary_heap,2,0.0,0.0,
1000,Bubble Sort,bubble_sort,3,97.3412,0.097341,1.988297
1000,Binary Heap,binary_heap,3,0.0,0.0,
5000,Bubble Sort,bubble_sort,1,2453.4398,2.45344,3.389775
5000,Binary Heap,binary_heap,1,51.5819,0.051582,1.712497
5000,Bubble Sort,bubble_sort,2,2519.8733,2.519873,3.401379
5000,Binary Heap,binary_heap,2,31.2477,0.031248,1.494818
5000,Bubble Sort,bubble_sort,3,2336.4756,2.336476,3.368561
5000,Binary Heap,binary_heap,3,31.2491,0.031249,1.494838
15000,Bubble Sort,bubble_sort,1,21732.3774,21.732377,4.337107
15000,Binary Heap,binary_heap,1,124.9959,0.124996,2.096896
15000,Bubble Sort,bubble_sort,2,23334.9926,23.334993,4.368008
15000,Binary Heap,binary_heap,2,205.3074,0.205307,2.312405
15000,Bubble Sort,bubble_sort,3,20832.7472,20.832747,4.318747
15000,Binary Heap,binary_heap,3,149.9702,0.14997,2.176005
20000,Bubble Sort,bubble_sort,1,38262.5553,38.262555,4.582774
20000,Binary Heap,binary_heap,1,203.1202,0.20312,2.307753
20000,Bubble Sort,bubble_sort,2,35511.429,35.511429,4.550368
20000,Binary Heap,binary_heap,2,171.87,0.17187,2.2352
20000,Bubble Sort,bubble_sort,3,36610.7066,36.610707,4.563608
20000,Binary Heap,binary_heap,3,216.5447,0.216545,2.335548
25000,Bubble Sort,bubble_sort,1,57401.0761,57.401076,4.75892
25000,Binary Heap,binary_heap,1,247.0768,0.247077,2.392832
25000,Bubble Sort,bubble_sort,2,58660.9563,58.660956,4.768349
25000,Binary Heap,binary_heap,2,281.2419,0.281242,2.44908
25000,Bubble Sort,bubble_sort,3,58893.0435,58.893043,4.770064
25000,Binary Heap,binary_heap,3,285.3994,0.285399,2.455453
30000,Bubble Sort,bubble_sort,1,83805.595,83.805595,4.923273
30000,Binary Heap,binary_heap,1,347.0212,0.347021,2.540356
30000,Bubble Sort,bubble_sort,2,93450.9198,93.45092,4.970584
30000,Binary Heap,binary_heap,2,358.7777,0.358778,2.554825
30000,Bubble Sort,bubble_sort,3,100824.5675,100.824568,5.003566
30000,Binary Heap,binary_heap,3,371.785,0.371785,2.570292
35000,Bubble Sort,bubble_sort,1,136271.2149,136.271215,5.134404
35000,Binary Heap,binary_heap,1,435.7069,0.435707,2.639194
35000,Bubble Sort,bubble_sort,2,126338.8786,126.338879,5.101537
35000,Binary Heap,binary_heap,2,424.514,0.424514,2.627892
35000,Bubble Sort,bubble_sort,3,115531.8535,115.531853,5.062702
35000,Binary Heap,binary_heap,3,336.7919,0.336792,2.527362
40000,Bubble Sort,bubble_sort,1,162699.4968,162.699497,5.211386
40000,Binary Heap,binary_heap,1,419.997,0.419997,2.623246
40000,Bubble Sort,bubble_sort,2,170521.5574,170.521557,5.231779
40000,Binary Heap,binary_heap,2,453.1091,0.453109,2.656203
40000,Bubble Sort,bubble_sort,3,152947.9954,152.947995,5.184544
40000,Binary Heap,binary_heap,3,420.4409,0.420441,2.623705
