case_name,weight_index,weight
large_differences,1,1
large_differences,2,2
large_differences,3,3
large_differences,4,98
large_differences,5,99
large_differences,6,100
large_set,1,11
large_set,2,25
large_set,3,5
large_set,4,95
large_set,5,89
large_set,6,65
large_set,7,51
large_set,8,93
large_set,9,100
large_set,10,41
large_set,11,21
large_set,12,1
large_set,13,17
large_set,14,99
large_set,15,81
large_set,16,68
large_set,17,91
large_set,18,6
large_set,19,74
large_set,20,17
many_small_weights,1,1
many_small_weights,2,1
many_small_weights,3,8
many_small_weights,4,8
many_small_weights,5,1
many_small_weights,6,9
many_small_weights,7,1
many_small_weights,8,3
many_small_weights,9,10
many_small_weights,10,7
many_small_weights,11,6
many_small_weights,12,1
many_small_weights,13,1
many_small_weights,14,6
many_small_weights,15,3
many_small_weights,16,3
many_small_weights,17,1
many_small_weights,18,6
many_small_weights,19,3
many_small_weights,20,1
many_small_weights,21,2
many_small_weights,22,1
many_small_weights,23,7
many_small_weights,24,3
many_small_weights,25,4
many_small_weights,26,7
many_small_weights,27,5
many_small_weights,28,3
many_small_weights,29,4
many_small_weights,30,4
patterned_weights,1,10
patterned_weights,2,20
patterned_weights,3,30
patterned_weights,4,40
patterned_weights,5,50
patterned_weights,6,60
patterned_weights,7,70
patterned_weights,8,80
patterned_weights,9,90
patterned_weights,10,100
small_set,1,10
small_set,2,20
small_set,3,30
small_set,4,40
small_set,5,50
