dataset_size,algorithm,run_number,time_ms,time_seconds,dataset_min_time_ms,relative_to_fastest_in_size,is_fastest_in_size,log10_dataset_size,log10_time_ms
1000,Binary Heap,1,4.9964,0.004996,0.0000,,0,3.000000,0.698657
1000,Binary Heap,2,0.0000,0.000000,0.0000,,1,3.000000,
1000,Binary Heap,3,0.0000,0.000000,0.0000,,1,3.000000,
1000,Bubble Sort,1,91.6478,0.091648,0.0000,,0,3.000000,1.962122
1000,Bubble Sort,2,84.9338,0.084934,0.0000,,0,3.000000,1.929081
1000,Bubble Sort,3,97.3412,0.097341,0.0000,,0,3.000000,1.988297
5000,Binary Heap,1,51.5819,0.051582,31.2477,1.650742,0,3.698970,1.712497
5000,Binary Heap,2,31.2477,0.031248,31.2477,1.000000,1,3.698970,1.494818
5000,Binary Heap,3,31.2491,0.031249,31.2477,1.000045,0,3.698970,1.494838
5000,Bubble Sort,1,2453.4398,2.453440,31.2477,78.515852,0,3.698970,3.389775
5000,Bubble Sort,2,2519.8733,2.519873,31.2477,80.641881,0,3.698970,3.401379
5000,Bubble Sort,3,2336.4756,2.336476,31.2477,74.772722,0,3.698970,3.368561
15000,Binary Heap,1,124.9959,0.124996,124.9959,1.000000,1,4.176091,2.096896
15000,Binary Heap,2,205.3074,0.205307,124.9959,1.642513,0,4.176091,2.312405
15000,Binary Heap,3,149.9702,0.149970,124.9959,1.199801,0,4.176091,2.176005
15000,Bubble Sort,1,21732.3774,21.732377,124.9959,173.864722,0,4.176091,4.337107
15000,Bubble Sort,2,23334.9926,23.334993,124.9959,186.686064,0,4.176091,4.368008
15000,Bubble Sort,3,20832.7472,20.832747,124.9959,166.667444,0,4.176091,4.318747
20000,Binary Heap,1,203.1202,0.203120,171.8700,1.181825,0,4.301030,2.307753
20000,Binary Heap,2,171.8700,0.171870,171.8700,1.000000,1,4.301030,2.235200
20000,Binary Heap,3,216.5447,0.216545,171.8700,1.259933,0,4.301030,2.335548
20000,Bubble Sort,1,38262.5553,38.262555,171.8700,222.624980,0,4.301030,4.582774
20000,Bubble Sort,2,35511.4290,35.511429,171.8700,206.617961,0,4.301030,4.550368
20000,Bubble Sort,3,36610.7066,36.610707,171.8700,213.013944,0,4.301030,4.563608
25000,Binary Heap,1,247.0768,0.247077,247.0768,1.000000,1,4.397940,2.392832
25000,Binary Heap,2,281.2419,0.281242,247.0768,1.138277,0,4.397940,2.449080
25000,Binary Heap,3,285.3994,0.285399,247.0768,1.155104,0,4.397940,2.455453
25000,Bubble Sort,1,57401.0761,57.401076,247.0768,232.320785,0,4.397940,4.758920
25000,Bubble Sort,2,58660.9563,58.660956,247.0768,237.419929,0,4.397940,4.768349
25000,Bubble Sort,3,58893.0435,58.893043,247.0768,238.359261,0,4.397940,4.770064
30000,Binary Heap,1,347.0212,0.347021,347.0212,1.000000,1,4.477121,2.540356
30000,Binary Heap,2,358.7777,0.358778,347.0212,1.033878,0,4.477121,2.554825
30000,Binary Heap,3,371.7850,0.371785,347.0212,1.071361,0,4.477121,2.570292
30000,Bubble Sort,1,83805.5950,83.805595,347.0212,241.499929,0,4.477121,4.923273
30000,Bubble Sort,2,93450.9198,93.450920,347.0212,269.294555,0,4.477121,4.970584
30000,Bubble Sort,3,100824.5675,100.824568,347.0212,290.542963,0,4.477121,5.003566
35000,Binary Heap,1,435.7069,0.435707,336.7919,1.293698,0,4.544068,2.639194
35000,Binary Heap,2,424.5140,0.424514,336.7919,1.260464,0,4.544068,2.627892
35000,Binary Heap,3,336.7919,0.336792,336.7919,1.000000,1,4.544068,2.527362
35000,Bubble Sort,1,136271.2149,136.271215,336.7919,404.615476,0,4.544068,5.134404
35000,Bubble Sort,2,126338.8786,126.338879,336.7919,375.124457,0,4.544068,5.101537
35000,Bubble Sort,3,115531.8535,115.531853,336.7919,343.036319,0,4.544068,5.062702
40000,Binary Heap,1,419.9970,0.419997,419.9970,1.000000,1,4.602060,2.623246
40000,Binary Heap,2,453.1091,0.453109,419.9970,1.078839,0,4.602060,2.656203
40000,Binary Heap,3,420.4409,0.420441,419.9970,1.001057,0,4.602060,2.623705
40000,Bubble Sort,1,162699.4968,162.699497,419.9970,387.382521,0,4.602060,5.211386
40000,Bubble Sort,2,170521.5574,170.521557,419.9970,406.006608,0,4.602060,5.231779
40000,Bubble Sort,3,152947.9954,152.947995,419.9970,364.164495,0,4.602060,5.184544
