dataset_size,algorithm,run_count,avg_time_ms,median_time_ms,min_time_ms,max_time_ms,std_dev_time_ms,coefficient_of_variation_pct
1000,Binary Heap,3,1.6655,0.0000,0.0000,4.9964,2.8847,173.2051
1000,Bubble Sort,3,91.3076,91.6478,84.9338,97.3412,6.2107,6.8019
5000,Binary Heap,3,38.0262,31.2491,31.2477,51.5819,11.7396,30.8722
5000,Bubble Sort,3,2436.5962,2453.4398,2336.4756,2519.8733,92.8518,3.8107
15000,Binary Heap,3,160.0912,149.9702,124.9959,205.3074,41.1012,25.6736
15000,Bubble Sort,3,21966.7057,21732.3774,20832.7472,23334.9926,1267.4740,5.7700
20000,Binary Heap,3,197.1783,203.1202,171.8700,216.5447,22.9224,11.6252
20000,Bubble Sort,3,36794.8970,36610.7066,35511.4290,38262.5553,1384.7810,3.7635
25000,Binary Heap,3,271.2394,281.2419,247.0768,285.3994,21.0284,7.7527
25000,Bubble Sort,3,58318.3586,58660.9563,57401.0761,58893.0435,802.8210,1.3766
30000,Binary Heap,3,359.1946,358.7777,347.0212,371.7850,12.3872,3.4486
30000,Bubble Sort,3,92693.6941,93450.9198,83805.5950,100824.5675,8534.7173,9.2074
35000,Binary Heap,3,399.0043,424.5140,336.7919,435.7069,54.1674,13.5756
35000,Bubble Sort,3,126047.3157,126338.8786,115531.8535,136271.2149,10372.7544,8.2293
40000,Binary Heap,3,431.1823,420.4409,419.9970,453.1091,18.9904,4.4043
40000,Bubble Sort,3,162056.3499,162699.4968,152947.9954,170521.5574,8804.4164,5.4329
